"model_id","reference_date","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"DMAPRIME-QR",2026-01-17,176.47597826087,240.25,0,0,4
"DMAPRIME-QR",2026-01-24,167.786630434783,193.25,0,0.5,4
"DMAPRIME-QR",2026-01-31,111.788586956522,118.25,0,0.25,4
"DMAPRIME-QR",2026-02-07,32.3114130434783,54.75,0.75,1,4
"DMAPRIME-QR",2026-02-14,38.3370652173913,64,0.5,1,4
"DMAPRIME-QR",2026-02-21,37.4169565217391,60.75,0.5,1,4
"DMAPRIME-QR",2026-02-28,108.124347826087,161.25,0,0.25,4
"DMAPRIME-QR",2026-03-07,52.7030434782609,81.5,0,0.25,4
"DMAPRIME-QR",2026-03-14,47.5902173913043,70.25,0,0.25,4
"DMAPRIME-QR",2026-03-21,5.50065217391304,10,0,1,4
"DMAPRIME-QR",2026-03-28,7.37054347826087,11.5,0,0.5,4
"DMAPRIME-QR",2026-04-04,2.93402173913044,4.5,0.25,0.75,4
"DMAPRIME-QR",2026-04-11,3.48467391304348,5.25,0.25,0.5,4
"DMAPRIME-QR",2026-04-18,2.84630434782609,4.5,0.25,0.75,4
"DMAPRIME-QR",2026-04-25,7.53880434782609,8.5,0,0,4
"DMAPRIME-QR",2026-05-02,7.87010869565217,12.25,0.25,0.5,4
"DMAPRIME-QR",2026-05-09,11.764347826087,17,0,0,4
"DMAPRIME-QR",2026-05-16,1.77141304347826,3,0.5,1,4
"DMAPRIME-QR",2026-05-23,3.77239130434783,6,0.25,0.75,4
"DMAPRIME-QR",2026-05-30,2.47967391304348,4,0.25,1,4
