"model_id","target_end_date","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"DMAPRIME-QR",2026-01-17,267.749130434783,350,0,0,1
"DMAPRIME-QR",2026-01-24,143.609130434783,191,0,0.5,2
"DMAPRIME-QR",2026-01-31,111.701304347826,157.666666666667,0,0.666666666666667,3
"DMAPRIME-QR",2026-02-07,102.40652173913,123.25,0.25,0.25,4
"DMAPRIME-QR",2026-02-14,106.671739130435,117.75,0.25,0.5,4
"DMAPRIME-QR",2026-02-21,82.1623913043478,107.75,0.25,0.75,4
"DMAPRIME-QR",2026-02-28,26.9740217391304,41.25,0.75,1,4
"DMAPRIME-QR",2026-03-07,56.3184782608696,90.5,0.25,0.75,4
"DMAPRIME-QR",2026-03-14,65.729347826087,103.25,0,0.5,4
"DMAPRIME-QR",2026-03-21,59.4002173913043,90.25,0,0.25,4
"DMAPRIME-QR",2026-03-28,39.9609782608696,56,0,0.25,4
"DMAPRIME-QR",2026-04-04,19.76,28.75,0,0.75,4
"DMAPRIME-QR",2026-04-11,2.9875,5.5,0.25,1,4
"DMAPRIME-QR",2026-04-18,3.60347826086957,5.5,0.25,0.5,4
"DMAPRIME-QR",2026-04-25,5.70304347826087,7.25,0,0.25,4
"DMAPRIME-QR",2026-05-02,6.06836956521739,8,0.25,0.5,4
"DMAPRIME-QR",2026-05-09,6.46130434782609,8.75,0.25,0.25,4
"DMAPRIME-QR",2026-05-16,6.73913043478261,9.75,0.25,0.25,4
"DMAPRIME-QR",2026-05-23,5.35858695652174,8.75,0.25,0.75,4
"DMAPRIME-QR",2026-05-30,5.27184782608696,8.25,0.25,0.75,4
"DMAPRIME-QR",2026-06-06,5.15840579710145,8,0,0.666666666666667,3
"DMAPRIME-QR",2026-06-13,2.5395652173913,3.5,0.5,1,2
"DMAPRIME-QR",2026-06-20,2.53521739130435,5,0,1,1
